proposed_use,existing_construction_type,status_date,proposed_units,proposed_construction_type,permit_number,description,revised_cost,street_name,supervisor_district,street_suffix,lot,filed_date,plansets,block,number_of_existing_stories,number_of_proposed_stories,neighborhoods_analysis_boundaries,permit_type_definition,permit_type,permit_creation_date,zipcode,record_id,proposed_construction_type_description,estimated_cost,street_number,existing_use,existing_units,location,status,existing_construction_type_description
apartments,5,2021-06-23T00:00:00.000,28,5,202106233020,"unit 11: replace kitchen ccabinet, sink, ctop, flooring, bathroom vanity, vanity top, toilet, tub.",25000,La Playa,4,,001,2021-06-23T00:00:00.000,0,1804,3,3,Sunset/Parkside,otc alterations permit,8,2021-06-23T00:00:00.000,94122,1619420466921,wood frame (5),15000,1361,apartments,28,"{coordinates:[-122.5093872079579,37.761554713345205],type:Point}",issued,wood frame (5)
apartments,5,2021-06-23T00:00:00.000,3,5,202106233074,interior alteration: remodel kitchen. no structural work.,0,Church,8,St,085,2021-06-23T00:00:00.000,2,3620,2,2,Noe Valley,otc alterations permit,8,2021-06-23T00:00:00.000,94114,1619452462972,wood frame (5),15000,934,apartments,3,"{coordinates:[-122.42815614289526,37.755898150334076],type:Point}",filed,wood frame (5)
apartments,5,2021-06-23T00:00:00.000,25,5,202106233012,"unit #201: remodeling kitchen remodeling bathroom",36800,Taylor,3,St,005,2021-06-23T00:00:00.000,0,0214,5,5,Nob Hill,otc alterations permit,8,2021-06-23T00:00:00.000,94108,1619378413292,wood frame (5),25000,1225,apartments,25,"{coordinates:[-122.41330480376962,37.79377378775563],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-06-23T00:00:00.000,2,5,202106233026,reroofing,25000,Church,8,St,004,2021-06-23T00:00:00.000,0,3585,3,3,Castro/Upper Market,otc alterations permit,8,2021-06-23T00:00:00.000,94114,1619396378827,wood frame (5),25000,636,2 family dwelling,2,"{coordinates:[-122.42861829931685,37.76073905639399],type:Point}",issued,wood frame (5)
apartments,5,2021-06-23T00:00:00.000,28,5,202106233024,"unit 9: replace kit cabinet, sink, counter-top sink, countertop, flooring bathroom vanity,vanity top, toilet, tub. all work in kind. no structural work. one kitchen & one bathroom non structural.",25000,La Playa,4,,001,2021-06-23T00:00:00.000,0,1804,3,3,Sunset/Parkside,otc alterations permit,8,2021-06-23T00:00:00.000,94122,1619394466921,wood frame (5),15000,1361,apartments,28,"{coordinates:[-122.5093872079579,37.761554713345205],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-07-01T00:00:00.000,2,5,202106233066,remove & replace emergency exit stair in-kind. interior stair not visible from the street.,30000,Grove,5,St,028,2021-06-23T00:00:00.000,2,0803,3,3,Hayes Valley,otc alterations permit,8,2021-06-23T00:00:00.000,94117,161944381885,wood frame (5),30000,943,2 family dwelling,2,"{coordinates:[-122.43207880428628,37.776391981705245],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-06-23T00:00:00.000,2,5,202106233028,reroofing,18700,37th,1,Av,007,2021-06-23T00:00:00.000,0,1507,3,3,Outer Richmond,otc alterations permit,8,2021-06-23T00:00:00.000,94121,1619399432351,wood frame (5),18700,539,2 family dwelling,2,"{coordinates:[-122.49786053228311,37.77866987307762],type:Point}",issued,wood frame (5)
apartments,1,2021-06-23T00:00:00.000,138,1,202106233038,unit 4a:  install waste & water for laundry. build oak partition wall & ceiling for laundry. install electrical for laundry. update electrical panel.,5600,Gough,5,St,046,2021-06-23T00:00:00.000,2,0713,26,26,Western Addition,otc alterations permit,8,2021-06-23T00:00:00.000,94109,161941180171,constr type 1,5600,1200,apartments,138,"{coordinates:[-122.4241339072413,37.7848211551145],type:Point}",issued,constr type 1
2 family dwelling,5,2021-06-23T00:00:00.000,2,5,202106233017,repair and replace outside siding in rear of the house - 1400sf of exterior siding,12600,27th,1,Av,032,2021-06-23T00:00:00.000,0,1407,3,3,Outer Richmond,otc alterations permit,8,2021-06-23T00:00:00.000,94131,1619383357796,wood frame (5),4200,352,2 family dwelling,2,"{coordinates:[-122.48675268158969,37.7828355659929],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-23T00:00:00.000,1,5,202106233029,remove old tile and carpet. add wood flooring. retile bathroom floor and kitchen,1200,York,9,St,016,2021-06-23T00:00:00.000,0,4334,2,2,Mission,otc alterations permit,8,2021-06-23T00:00:00.000,94110,1619400173463,wood frame (5),1200,1423,1 family dwelling,1,"{coordinates:[-122.4075679025161,37.749347125878714],type:Point}",filed,wood frame (5)
apartments,5,2021-06-23T00:00:00.000,30,5,202106233043,unit 21: demo & repair less than 50 sf of stucco for waterproofing & add flashing. not visible from street.,10000,Minnesota,10,St,148,2021-06-23T00:00:00.000,0,4228,4,4,Potrero Hill,otc alterations permit,8,2021-06-23T00:00:00.000,94107,1619416425264,wood frame (5),10000,1310,apartments,30,"{coordinates:[-122.39006834720566,37.753699913944274],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-23T00:00:00.000,1,5,202106233047,"demolition & rebuilding exterior stairs, concrete, frming, granite & stucco, iron handrails",0,Naylor,11,St,019,2021-06-23T00:00:00.000,2,6442,2,2,Excelsior,otc alterations permit,8,2021-06-23T00:00:00.000,94112,1619421203192,wood frame (5),30000,7,1 family dwelling,1,"{coordinates:[-122.43382310120093,37.71134816694466],type:Point}",filed,wood frame (5)
apartments,5,2021-06-23T00:00:00.000,4,5,202106233040,"remodel kitchen and bathroom. add recessed lights in living room, hallway, kitchen and bath. new hardwood floors. no structural work.",40000,South Van Ness,9,Av,056,2021-06-23T00:00:00.000,0,3610,3,3,Mission,otc alterations permit,8,2021-06-23T00:00:00.000,94110,1619412161940,wood frame (5),40000,996,apartments,4,"{coordinates:[-122.41704004463277,37.757290585680565],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-23T00:00:00.000,1,5,202106233068,"porch wall replacement in kind. replace 90 sf of siding of exterior walls, new headers, drywall",16000,Caine,11,Av,006,2021-06-23T00:00:00.000,2,7048,2,2,Oceanview/Merced/Ingleside,otc alterations permit,8,2021-06-23T00:00:00.000,94112,1619446219123,wood frame (5),16000,26,1 family dwelling,1,"{coordinates:[-122.45042693768565,37.71784035512023],type:Point}",issued,wood frame (5)
2 family dwelling,,2021-06-23T00:00:00.000,,,202106233035,re-roofing: remove and replace roofing material / existing roofing material (in-kind),10282,15th,7,Av,015A,2021-06-23T00:00:00.000,0,2483,,,West of Twin Peaks,otc alterations permit,8,2021-06-23T00:00:00.000,94127,1619407137879,,10282,2722,2 family dwelling,,"{coordinates:[-122.470715109411,37.737278482238],type:Point}",issued,
2 family dwelling,5,2021-07-02T00:00:00.000,2,5,202106233054,"voluntary strengthening of ground floor, add plywood shear walls w/concrete foundations",55000,Bartlett,9,St,044,2021-06-23T00:00:00.000,2,3636,3,3,Mission,otc alterations permit,8,2021-06-23T00:00:00.000,94110,1619429163359,wood frame (5),55000,151,2 family dwelling,2,"{coordinates:[-122.4194612720955,37.75456797257246],type:Point}",plancheck,wood frame (5)
apartments,5,2021-06-23T00:00:00.000,28,5,202106233021,"unit #19: replace kitchen cabinet, sink, countertop, flooring, bathroom vanity, vanity top, toilet, tub. 1 kitchen and 1 bath remodel",36800,La Playa,4,,001,2021-06-23T00:00:00.000,0,1804,2,2,Sunset/Parkside,otc alterations permit,8,2021-06-23T00:00:00.000,94122,1619387114984,wood frame (5),15000,1301,apartments,28,"{coordinates:[-122.5093872079579,37.761554713345205],type:Point}",issued,wood frame (5)
apartments,5,2021-06-23T00:00:00.000,119,5,202106233008,"bldg 1 unit #319: like for like; remove and replace kitchen cabinets, countertop, sink, and faucet, 2 bathrooms, vanity, sink, faucet, and toilet. lighting fixtures, outlet switches with covers. no fire sprinkler alarm modifications. no removing walls",49000,Brannan,6,St,300A,2021-06-23T00:00:00.000,0,3773,4,4,Financial District/South Beach,otc alterations permit,8,2021-06-23T00:00:00.000,94107,1619371471174,wood frame (5),39000,180,apartments,119,"{coordinates:[-122.38966517583965,37.7843531507164],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-06-23T00:00:00.000,2,5,202106233057,revision to pa 2021-0405-7924 - 2nd and 3rd fl - reconfigure bathroom layout per plans. remove rear deck from scope of work,1,Wayland,9,St,012,2021-06-23T00:00:00.000,2,6046,3,3,Portola,otc alterations permit,8,2021-06-23T00:00:00.000,94134,1619432194806,wood frame (5),1,312,2 family dwelling,2,"{coordinates:[-122.40549456097867,37.726039895859586],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-23T00:00:00.000,1,5,202106233067,"1) in basement, partial replacement of foundation & slab, add front lightwell, infill under deck, add 2 bedrooms & 1 1/2 baths, office & storage, 2) on 1st fl: remodel kitchen, half bath replacing full bath, & expand deck with new stairs. 3) on 2nd fl: remodel bath & add hallway.",0,28th,2,Av,027,2021-06-23T00:00:00.000,2,1331,3,3,Seacliff,otc alterations permit,8,2021-06-23T00:00:00.000,94131,161944496043,wood frame (5),250000,152,1 family dwelling,1,"{coordinates:[-122.48809461696553,37.786523237773196],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106233014,replace 2/f hallway bathtub with walk-in tub. install new 20 amp circuit for tub outlet. dry wall patch,9500,Nevada,9,St,006,2021-06-23T00:00:00.000,0,5654,2,2,Bernal Heights,otc alterations permit,8,2021-06-23T00:00:00.000,94110,1619379185886,wood frame (5),9500,124,1 family dwelling,1,"{coordinates:[-122.4115254697505,37.74092617007882],type:Point}",issued,wood frame (5)
apartments,5,2021-06-23T00:00:00.000,16,5,202106233052,"unit 8 - convert kitchen to studyl relocate kitchen, rehabilitate existing bathroom and install washer & dryer",45000,Pine,3,St,001D,2021-06-23T00:00:00.000,2,0273,4,4,Nob Hill,otc alterations permit,8,2021-06-23T00:00:00.000,94108,1619427298972,wood frame (5),45000,835,apartments,16,"{coordinates:[-122.40956700279429,37.79072552248101],type:Point}",filed,wood frame (5)
apartments,5,2021-06-23T00:00:00.000,88,5,202106233007,"building 8 unit 110: like for like; remove and replace; (1) kitchen cabinets, countertops, sink and faucet. (2) bathrooms vanity, sink, faucet & toilet. lighting fixtures, outlets, switches w/covers; no fire sprinkler/alarm modifications. no removing walls.",39000,Bayside Village,6,Pl,100A,2021-06-23T00:00:00.000,0,3773,4,4,Financial District/South Beach,otc alterations permit,8,2021-06-23T00:00:00.000,94107,1619370471171,wood frame (5),39000,3,apartments,88,"{coordinates:[-122.39036919104052,37.78485937512485],type:Point}",issued,wood frame (5)
apartments,3,2021-06-22T00:00:00.000,30,3,202106222917,"remodel one kitchen with in same four walls. new cabinets, tiles, countertop, sink/faucet, electric stove, sheetrock, recessed fixtures, and paint",47300,Hyde,2,St,009,2021-06-22T00:00:00.000,0,0095C,6,6,Russian Hill,otc alterations permit,8,2021-06-22T00:00:00.000,94109,1619262433646,constr type 3,47300,2111,apartments,30,"{coordinates:[-122.41964420865563,37.80036636654067],type:Point}",issued,constr type 3
2 family dwelling,5,2021-06-22T00:00:00.000,2,5,202106222983,"voluntary strengthening of walls at the lowest level, partial foundation/retaining wall replacement, addition of plywood shear walls, anchor bolts, holdowns, and  shear clips.",0,Broderick,5,St,009,2021-06-22T00:00:00.000,2,1205,3,3,Hayes Valley,otc alterations permit,8,2021-06-22T00:00:00.000,94117,161933892335,wood frame (5),72000,405,2 family dwelling,2,"{coordinates:[-122.43961291283118,37.77407264899041],type:Point}",filed,wood frame (5)
apartments,5,2021-06-22T00:00:00.000,8,5,202106222903,reroofing,25000,08th,7,Av,017,2021-06-22T00:00:00.000,0,2045,3,3,Inner Sunset,otc alterations permit,8,2021-06-22T00:00:00.000,94122,1619246403662,wood frame (5),25000,1895,apartments,8,"{coordinates:[-122.46465635267433,37.75313686424967],type:Point}",issued,wood frame (5)
,5,2021-06-22T00:00:00.000,2,5,202106222962,"underground drawing - 2 undergroundfire sprinkler application number 2015-0622-9512",0,De Haro,10,St,004,2021-06-22T00:00:00.000,2,4159,1,3,Potrero Hill,otc alterations permit,8,2021-06-22T00:00:00.000,94107,1619317171530,wood frame (5),,1016,,1,"{coordinates:[-122.40114884741574,37.756832234231936],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-06-22T00:00:00.000,1,5,202106222948,"this is just for exterior dry rot repair. remove stucco, re-paint damage and re-stucco then paint. not facing street.",8000,Funston,7,Av,003,2021-06-22T00:00:00.000,0,2342,2,2,West of Twin Peaks,otc alterations permit,8,2021-06-22T00:00:00.000,94116,1619302131815,wood frame (5),8000,2323,1 family dwelling,1,"{coordinates:[-122.46958571202617,37.74467570845009],type:Point}",issued,wood frame (5)
clinics-medic/dental,5,2021-06-22T00:00:00.000,,5,202106222997,"tenant improvement of new dental office on the 1st fl. new non-load bearing partiton walls construcion with new lighting vacuum water, power lines",0,Vicente,4,St,045,2021-06-22T00:00:00.000,2,2474,1,1,Sunset/Parkside,otc alterations permit,8,2021-06-22T00:00:00.000,94116,1619358137502,wood frame (5),283350,1185,health studios & gym,,"{coordinates:[-122.47945920349642,37.73899592222719],type:Point}",filed,wood frame (5)
2 family dwelling,5,2021-06-22T00:00:00.000,2,5,202106222921,comply with physical inspection report #cc8322,12000,30th,8,St,011,2021-06-22T00:00:00.000,0,6637,2,2,Noe Valley,otc alterations permit,8,2021-06-22T00:00:00.000,94131,1619267209769,wood frame (5),12000,244,2 family dwelling,2,"{coordinates:[-122.42535519985987,37.742413317442896],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-22T00:00:00.000,1,5,202106222912,replace 29 wood windows at existing opening ( including 11 facing street) w/ same material. replace stucco to new stucco. approx. 1800 sq ft of wall. m < 0.3,120000,29th,4,Av,013,2021-06-22T00:00:00.000,0,2396,2,2,Sunset/Parkside,otc alterations permit,8,2021-06-22T00:00:00.000,94116,1619255134259,wood frame (5),120000,2481,1 family dwelling,1,"{coordinates:[-122.48647954812594,37.74103626456057],type:Point}",issued,wood frame (5)
apartments,3,2021-06-29T00:00:00.000,38,3,202106222942,"units #201 & #501: new bedrooms, kitchen cabinets, and plumbing fixtures. new washer/dryer & dishwasher. new lighting at (e) j-box locations. no change to mechanical. no exterior work. no fire alarm or sprinkler work. no structural work",130000,Polk,3,St,001,2021-06-22T00:00:00.000,2,0547,6,6,Russian Hill,otc alterations permit,8,2021-06-22T00:00:00.000,94109,161929673892,constr type 3,130000,2355,apartments,38,"{coordinates:[-122.42266043761737,37.79851956082639],type:Point}",issued,constr type 3
2 family dwelling,5,2021-06-22T00:00:00.000,2,5,202106222954,"replace tile, toilet, vanity, shower valve (1). in kind bathroom remodel unit b right side of property.",12000,Lexington,9,St,053,2021-06-22T00:00:00.000,0,3609,2,2,Mission,otc alterations permit,8,2021-06-22T00:00:00.000,94110,1619308161826,wood frame (5),4000,346,2 family dwelling,2,"{coordinates:[-122.42061586859634,37.75776349086385],type:Point}",issued,wood frame (5)
apartments,5,2021-06-22T00:00:00.000,5,5,202106222935,"unit 1: remodel kitchen & bath in-kind, upgrade unit electrical, add 14 lights, maintain 1-hour separation between units @ area of new work.  no change to layout of walls & openings.",43000,Grove,5,St,003,2021-06-22T00:00:00.000,0,1202,4,4,Hayes Valley,otc alterations permit,8,2021-06-22T00:00:00.000,94117,1619287240203,wood frame (5),43000,1231,apartments,5,"{coordinates:[-122.43681607058235,37.77576314751859],type:Point}",issued,wood frame (5)
office,,2021-06-22T00:00:00.000,,,202106222975,"permit to memoralize planning commission authority 49,999sf of pdr to be configured to office between 4th & 5th fls. land use occupancy for fls. 1-3 and roof to remain unchanged, permit issued to finalize planning approval of land use category and enable payment of associated imapct fees",1,Henry Adams,10,St,001,2021-06-22T00:00:00.000,2,3910,5,5,Mission Bay,otc alterations permit,8,2021-06-22T00:00:00.000,94103,1619331168000,,1,2,retail sales,,"{coordinates:[-122.4044335087414,37.76912391052247],type:Point}",filed,
1 family dwelling,5,2021-06-22T00:00:00.000,1,5,202106222918,cabinet repair.tile and kitchen and bathrom repair. wood flooring repair. painting for entire house.,10000,Thornton,10,Av,036,2021-06-22T00:00:00.000,0,5409,2,2,Bayview Hunters Point,otc alterations permit,8,2021-06-22T00:00:00.000,94124,1619263181994,wood frame (5),10000,207,1 family dwelling,1,"{coordinates:[-122.39444248399974,37.730758329221416],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-06-22T00:00:00.000,2,5,202106222963,"explorator demolition to locate structural elements and utilities in advance of a full demolition. patch and repair the area(s) of exploration and remove less than a total of 500sf. full interior demolition requires a separate demolition permit. chapter 1, sec 106a.2",2500,Vallejo,2,St,013,2021-06-22T00:00:00.000,2,0560,3,3,Pacific Heights,otc alterations permit,8,2021-06-22T00:00:00.000,94123,1619319464187,wood frame (5),1000,2562,2 family dwelling,2,"{coordinates:[-122.43945087884427,37.794960166413205],type:Point}",filed,wood frame (5)
2 family dwelling,5,2021-06-22T00:00:00.000,2,5,202106222983,"voluntary strengthening of walls at the lowest level, partial foundation/retaining wall replacement, addition of plywood shear walls, anchor bolts, holdowns, and  shear clips.",0,Broderick,5,St,009,2021-06-22T00:00:00.000,2,1205,3,3,Hayes Valley,otc alterations permit,8,2021-06-22T00:00:00.000,94117,1619339425984,wood frame (5),72000,407,2 family dwelling,2,"{coordinates:[-122.43961291283118,37.77407264899041],type:Point}",filed,wood frame (5)
office,5,2021-06-22T00:00:00.000,,5,202106222957,suite a: t.i. for furniture showroom including construction of non-load bearing walls. new owner provided fixture display and second floor office. mech & eletrical & sprinkler to be design build under separate permit,0,Rhode Island,10,St,001,2021-06-22T00:00:00.000,2,3914,2,2,Mission Bay,otc alterations permit,8,2021-06-22T00:00:00.000,94103,1619311448013,wood frame (5),185000,111,office,,"{coordinates:[-122.40250575218866,37.76838541232421],type:Point}",filed,wood frame (5)
2 family dwelling,5,2021-06-22T00:00:00.000,2,5,202106222932,"remodel 3 bathrooms, shower/tubs.remove drywall, change plumbing fixturs, electrical uapgrades. new tilie, heated floors, new drywall & paint. repair any dry rot, repair in-kind.",48000,06th,1,Av,051,2021-06-22T00:00:00.000,0,1366,3,3,Inner Richmond,otc alterations permit,8,2021-06-22T00:00:00.000,94118,1619285432686,wood frame (5),48000,147,2 family dwelling,2,"{coordinates:[-122.46495195767798,37.78569211926147],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-06-22T00:00:00.000,2,5,202106222928,reroofing,8000,Kirkham,4,St,023,2021-06-22T00:00:00.000,0,1831,2,2,Sunset/Parkside,otc alterations permit,8,2021-06-22T00:00:00.000,94122,1619280116321,wood frame (5),8000,1834,2 family dwelling,2,"{coordinates:[-122.48075860527015,37.75980968868721],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-06-22T00:00:00.000,2,5,202106222906,close up hole with drywall due to electrical repairs 100 sq.ft. approx. on one bedroom wall within unit. electrical work under separate electrical permit.,5000,South Van Ness,9,Av,035,2021-06-22T00:00:00.000,0,6518,2,2,Mission,otc alterations permit,8,2021-06-22T00:00:00.000,94109,1619249205977,wood frame (5),5000,1332,2 family dwelling,2,"{coordinates:[-122.41654647378463,37.75178219197113],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-22T00:00:00.000,1,5,202106222901,replacement of 24 windows throughout house with retrofit windows. some facing street. same size & location. windows on ord ct ord street and vulcan stairway will be wood aluminum clad windows.,23000,Vulcan,8,Sw,046,2021-06-22T00:00:00.000,0,2626,2,2,Castro/Upper Market,otc alterations permit,8,2021-06-22T00:00:00.000,,1619244457176,wood frame (5),23000,2,1 family dwelling,1,"{coordinates:[-122.4405829254281,37.76359097758065],type:Point}",issued,wood frame (5)
apartments,5,2021-06-22T00:00:00.000,6,5,202106222939,"bathroom and kitchen renovation. adding dishwasher & garbage disposal. changing location of sink,toilet, and shower within the bathroom.re-wire the whole unit flooring drywall & painting & plumbing- upper unit-no fixture added.",78780,Hoff,9,St,021,2021-06-22T00:00:00.000,0,3569,3,3,Mission,otc alterations permit,8,2021-06-22T00:00:00.000,94110,1619293281891,wood frame (5),78780,23,apartments,6,"{coordinates:[-122.42028873992287,37.76458438474164],type:Point}",issued,wood frame (5)
office,1,2021-06-22T00:00:00.000,,1,202106222956,"partial floor ti on floor 8 (25sf), floor 9 (684sf), floor 10 (1988sf). work includes non structural partitions, finishes and associated mep.",368298,Embarcadero Center,3,,016,2021-06-22T00:00:00.000,2,0232,31,31,Financial District/South Beach,otc alterations permit,8,2021-06-22T00:00:00.000,,161931063349,constr type 1,368298,3,office,,"{coordinates:[-122.39729812145441,37.79494825936794],type:Point}",filed,constr type 1
2 family dwelling,5,2021-06-22T00:00:00.000,2,5,202106222902,"2 bathroom remodels in-kind. no structural no changes to walls or openingsbath (a) (n) curbed shower, (n) toilet, (n) vanity (64 sq ft 3rd flr)bath (b) (n) toilet, (n) vanity, all (n) fixtures + finishes (44 sq ft 3rd flr)",25000,Franklin,2,St,063,2021-06-22T00:00:00.000,0,0546,3,3,Marina,otc alterations permit,8,2021-06-22T00:00:00.000,94123,1619245392438,wood frame (5),25000,2536,2 family dwelling,2,"{coordinates:[-122.42522041839734,37.79795871222551],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-22T00:00:00.000,1,5,202106222945,extend (e) back yard fence @ north & west sides to 10'-0" high max w/wooden frame & netting.,800,Clearfield,7,Dr,004,2021-06-22T00:00:00.000,2,7258,2,2,Sunset/Parkside,otc alterations permit,8,2021-06-22T00:00:00.000,94132,1619299225462,wood frame (5),800,21,1 family dwelling,1,"{coordinates:[-122.49179092135284,37.73335561414483],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-22T00:00:00.000,1,5,202106222959,"repair dry rot & paint, bck deck/corner exterior/exterior wall in stairwell wall along garage/exterior under windows",0,Hamerton,8,Av,002,2021-06-22T00:00:00.000,0,6760,2,2,West of Twin Peaks,otc alterations permit,8,2021-06-22T00:00:00.000,94131,1619314212328,wood frame (5),15000,118,1 family dwelling,1,"{coordinates:[-122.43792164279965,37.73385203418669],type:Point}",filed,wood frame (5)
2 family dwelling,5,2021-06-22T00:00:00.000,2,5,202106222963,"explorator demolition to locate structural elements and utilities in advance of a full demolition. patch and repair the area(s) of exploration and remove less than a total of 500sf. full interior demolition requires a separate demolition permit. chapter 1, sec 106a.2",2500,Vallejo,2,St,013,2021-06-22T00:00:00.000,2,0560,3,3,Pacific Heights,otc alterations permit,8,2021-06-22T00:00:00.000,94123,161931874385,wood frame (5),1000,2560,2 family dwelling,2,"{coordinates:[-122.43945087884427,37.794960166413205],type:Point}",filed,wood frame (5)
apartments,5,2021-06-22T00:00:00.000,6,5,202106222989,"renovation of e kitchen. work includes new cabinets, countertops, new appliances n wetbar to include new sink. structural work incluudes removing e wall and add new beam. new elec work includes n subpanel, new wiring outlets and recessed down lights. no work e heating system. no work at building ext",30000,Powell,3,St,006,2021-06-22T00:00:00.000,2,0064,3,3,North Beach,otc alterations permit,8,2021-06-22T00:00:00.000,94133,1619346276448,wood frame (5),30000,2029,apartments,6,"{coordinates:[-122.41175843385821,37.80338617416823],type:Point}",filed,wood frame (5)
2 family dwelling,5,2021-06-22T00:00:00.000,2,5,202106222923,"replace (12) front windows w/double hung marvin signature or equivalent windows. u-fctor <0.3wood hung or wood aluminum cald at the front.",8000,30th,8,St,011,2021-06-22T00:00:00.000,0,6637,2,2,Noe Valley,otc alterations permit,8,2021-06-22T00:00:00.000,94131,1619271209769,wood frame (5),8000,244,2 family dwelling,2,"{coordinates:[-122.42535519985987,37.742413317442896],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-06-22T00:00:00.000,1,5,202106222927,to renewal expired building permit. commencement of work not started previously approved permit application no: 201509308493.,0,23rd,4,Av,018,2021-06-22T00:00:00.000,0,2473,3,3,Sunset/Parkside,otc alterations permit,8,2021-06-22T00:00:00.000,94116,1619281137428,wood frame (5),1,2689,2 family dwelling,1,"{coordinates:[-122.47988332415407,37.737490842077875],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-06-22T00:00:00.000,1,5,202106222919,1) master bathroom remodel 2) remove & replace in kind below grade < 4 ft retaining wall in backyard 3) replace deck boards and railing in kind. less than 50%.,50000,17th,1,Av,018,2021-06-22T00:00:00.000,0,1416,2,2,Outer Richmond,otc alterations permit,8,2021-06-22T00:00:00.000,94118,161926498827,wood frame (5),50000,285,1 family dwelling,1,"{coordinates:[-122.47665940568427,37.782754716308915],type:Point}",issued,wood frame (5)
apartments,5,2021-06-22T00:00:00.000,6,5,202106222926,"common area: r&r approx.200 sq ft of dry rotted ship-lap woodsiding & underlying bldg paper.install new caulking & sheet metal flashing.prime & paint.on rear of bldg,not visible from street,provide wall insulation whenever wall cavity is exposed for wall separating conditioned & unconditioned spaces",18000,Presidio,2,Av,032,2021-06-22T00:00:00.000,0,1007,3,3,Presidio Heights,otc alterations permit,8,2021-06-22T00:00:00.000,94115,161927986915,wood frame (5),18000,322,apartments,6,"{coordinates:[-122.44679693180265,37.78879502960119],type:Point}",issued,wood frame (5)
apartments,5,2021-06-22T00:00:00.000,4,5,202106222966,unit 2: install new washer and dryer hook ups in the hallway closet. provide hot-cold supply plus drain plumbing to laundry box. procide receptacle for washer and new receptacle for dryer. provide dryer exhaust flue patch and paint as required.,0,Union,2,St,048,2021-06-22T00:00:00.000,2,0538,3,3,Marina,otc alterations permit,8,2021-06-22T00:00:00.000,94123,1619322486769,wood frame (5),10000,2369,apartments,4,"{coordinates:[-122.43818575065237,37.79649739627365],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-06-22T00:00:00.000,1,5,202106222910,replace eleven (11) windows like for like. retrofit. five (5) front facing replace (e) vinyl with (n) fiberglass. six (6) back of house replace (e) vinyl with (n) fiberglass.,8800,Oxford,9,St,037,2021-06-22T00:00:00.000,0,6034,2,2,Portola,otc alterations permit,8,2021-06-22T00:00:00.000,94134,1619253445434,wood frame (5),8800,575,1 family dwelling,1,"{coordinates:[-122.41783292546071,37.72299432396352],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-22T00:00:00.000,1,5,202106222936,"remodel kitchen, cabinets & countertops. no structural work. no change to layoutof walls & openings.",25000,Church,8,St,029,2021-06-22T00:00:00.000,0,6535,3,3,Noe Valley,otc alterations permit,8,2021-06-22T00:00:00.000,94114,1619289206624,wood frame (5),25000,1275,1 family dwelling,1,"{coordinates:[-122.4269790600456,37.75051642860498],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-22T00:00:00.000,1,5,202106222995,new stair at rear yard. new french door.,0,Lenox,7,Wy,029,2021-06-22T00:00:00.000,2,2919,2,2,West of Twin Peaks,otc alterations permit,8,2021-06-22T00:00:00.000,94127,1619354147084,wood frame (5),9000,160,1 family dwelling,1,"{coordinates:[-122.46598677775269,37.74159260405283],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-06-29T00:00:00.000,1,5,202106222911,reroofing,16000,18th,7,Av,002W,2021-06-22T00:00:00.000,0,2137,2,2,Inner Sunset,otc alterations permit,8,2021-06-22T00:00:00.000,94116,1619254127220,wood frame (5),16000,2042,1 family dwelling,1,"{coordinates:[-122.47476061959227,37.74974204618884],type:Point}",complete,wood frame (5)
1 family dwelling,5,2021-06-22T00:00:00.000,1,5,202106222970,install solar mounted pv array (18). install energy storage system (battery). install internal load center,0,Corbett,8,Av,010,2021-06-22T00:00:00.000,2,2660,2,2,Castro/Upper Market,otc alterations permit,8,2021-06-22T00:00:00.000,94114,1619326141199,wood frame (5),14000,354,1 family dwelling,1,"{coordinates:[-122.4457960086917,37.759876322632024],type:Point}",filed,wood frame (5)
